study_id,source,sheet,field,run1,run2,type,key,row,fields,check,status,detail,issue,field_or_row,explanation,suggested_fix,reviewer_decision,corrected_value
kaji-2006,consensus,muscle,,,,only_in_run1,"['anthropometry', 'body height', 'postmenopausal gc patients']","{'Modality': 'Anthropometry', 'Metric': 'Body height', 'Unit': 'cm', 'Group': 'Postmenopausal GC patients', 'N': 122, 'Value': 152.5, 'SD': 10.9, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['anthropometry', 'body height', 'postmenopausal control women']","{'Modality': 'Anthropometry', 'Metric': 'Body height', 'Unit': 'cm', 'Group': 'Postmenopausal control women', 'N': 122, 'Value': 153.4, 'SD': 5.9, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['anthropometry', 'body weight', 'premenopausal gc patients']","{'Modality': 'Anthropometry', 'Metric': 'Body weight', 'Unit': 'kg', 'Group': 'Premenopausal GC patients', 'N': 92, 'Value': 54.5, 'SD': 9.3, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['anthropometry', 'body weight', 'postmenopausal gc patients']","{'Modality': 'Anthropometry', 'Metric': 'Body weight', 'Unit': 'kg', 'Group': 'Postmenopausal GC patients', 'N': 122, 'Value': 50.6, 'SD': 10.9, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['anthropometry', 'body weight', 'postmenopausal control women']","{'Modality': 'Anthropometry', 'Metric': 'Body weight', 'Unit': 'kg', 'Group': 'Postmenopausal control women', 'N': 122, 'Value': 52.0, 'SD': 7.8, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['anthropometry', 'bmi', 'premenopausal gc patients']","{'Modality': 'Anthropometry', 'Metric': 'BMI', 'Unit': 'kg/m2', 'Group': 'Premenopausal GC patients', 'N': 92, 'Value': 21.8, 'SD': 3.2, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['anthropometry', 'bmi', 'postmenopausal gc patients']","{'Modality': 'Anthropometry', 'Metric': 'BMI', 'Unit': 'kg/m2', 'Group': 'Postmenopausal GC patients', 'N': 122, 'Value': 21.7, 'SD': 3.2, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['anthropometry', 'bmi', 'postmenopausal control women']","{'Modality': 'Anthropometry', 'Metric': 'BMI', 'Unit': 'kg/m2', 'Group': 'Postmenopausal control women', 'N': 122, 'Value': 22.1, 'SD': 3.0, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['dxa', '% bmc', 'premenopausal gc patients']","{'Modality': 'DXA', 'Metric': '% BMC', 'Unit': '%', 'Group': 'Premenopausal GC patients', 'N': 92, 'Value': 3.6, 'SD': 0.6, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['dxa', '% bmc', 'postmenopausal gc patients']","{'Modality': 'DXA', 'Metric': '% BMC', 'Unit': '%', 'Group': 'Postmenopausal GC patients', 'N': 122, 'Value': 2.9, 'SD': 0.5, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['dxa', '% bmc', 'postmenopausal control women']","{'Modality': 'DXA', 'Metric': '% BMC', 'Unit': '%', 'Group': 'Postmenopausal control women', 'N': 122, 'Value': 3.0, 'SD': 0.6, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['dxa', '% lbm', 'premenopausal gc patients']","{'Modality': 'DXA', 'Metric': '% LBM', 'Unit': '%', 'Group': 'Premenopausal GC patients', 'N': 92, 'Value': 61.7, 'SD': 7.3, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['dxa', '% lbm', 'postmenopausal gc patients']","{'Modality': 'DXA', 'Metric': '% LBM', 'Unit': '%', 'Group': 'Postmenopausal GC patients', 'N': 122, 'Value': 63.2, 'SD': 9.0, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['dxa', '% lbm', 'postmenopausal control women']","{'Modality': 'DXA', 'Metric': '% LBM', 'Unit': '%', 'Group': 'Postmenopausal control women', 'N': 122, 'Value': 61.6, 'SD': 7.2, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['dxa', '% fat', 'premenopausal gc patients']","{'Modality': 'DXA', 'Metric': '% Fat', 'Unit': '%', 'Group': 'Premenopausal GC patients', 'N': 92, 'Value': 34.6, 'SD': 7.7, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['dxa', '% fat', 'postmenopausal gc patients']","{'Modality': 'DXA', 'Metric': '% Fat', 'Unit': '%', 'Group': 'Postmenopausal GC patients', 'N': 122, 'Value': 33.8, 'SD': 9.1, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['dxa', '% fat', 'postmenopausal control women']","{'Modality': 'DXA', 'Metric': '% Fat', 'Unit': '%', 'Group': 'Postmenopausal control women', 'N': 122, 'Value': 35.4, 'SD': 7.7, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['dxa', '% trunk fat', 'premenopausal gc patients']","{'Modality': 'DXA', 'Metric': '% Trunk fat', 'Unit': '%', 'Group': 'Premenopausal GC patients', 'N': 92, 'Value': 39.2, 'SD': 7.2, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['dxa', '% trunk fat', 'postmenopausal gc patients']","{'Modality': 'DXA', 'Metric': '% Trunk fat', 'Unit': '%', 'Group': 'Postmenopausal GC patients', 'N': 122, 'Value': 44.3, 'SD': 8.9, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['dxa', '% trunk fat', 'postmenopausal control women']","{'Modality': 'DXA', 'Metric': '% Trunk fat', 'Unit': '%', 'Group': 'Postmenopausal control women', 'N': 122, 'Value': 45.4, 'SD': 7.9, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['anthropometry', 'body height', 'gc-treated']","{'Modality': 'Anthropometry', 'Metric': 'Body height', 'Unit': 'cm', 'Group': 'GC-treated', 'N': 80, 'Value': 153.5, 'SD': 5.6, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': 'fracture (-)'}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['anthropometry', 'body height', 'gc-treated']","{'Modality': 'Anthropometry', 'Metric': 'Body height', 'Unit': 'cm', 'Group': 'GC-treated', 'N': 42, 'Value': 150.5, 'SD': 6.5, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': 'fracture (+)'}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['anthropometry', 'body height', 'control']","{'Modality': 'Anthropometry', 'Metric': 'Body height', 'Unit': 'cm', 'Group': 'Control', 'N': 100, 'Value': 153.8, 'SD': 6.0, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': 'fracture (-)'}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['anthropometry', 'body height', 'control']","{'Modality': 'Anthropometry', 'Metric': 'Body height', 'Unit': 'cm', 'Group': 'Control', 'N': 22, 'Value': 152.9, 'SD': 5.6, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': 'fracture (+)'}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['anthropometry', 'body weight', 'gc-treated']","{'Modality': 'Anthropometry', 'Metric': 'Body weight', 'Unit': 'kg', 'Group': 'GC-treated', 'N': 80, 'Value': 52.7, 'SD': 6.9, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': 'fracture (-)'}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['anthropometry', 'body weight', 'gc-treated']","{'Modality': 'Anthropometry', 'Metric': 'Body weight', 'Unit': 'kg', 'Group': 'GC-treated', 'N': 42, 'Value': 46.5, 'SD': 9.2, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': 'fracture (+)'}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['anthropometry', 'body weight', 'control']","{'Modality': 'Anthropometry', 'Metric': 'Body weight', 'Unit': 'kg', 'Group': 'Control', 'N': 100, 'Value': 52.0, 'SD': 8.0, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': 'fracture (-)'}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['anthropometry', 'body weight', 'control']","{'Modality': 'Anthropometry', 'Metric': 'Body weight', 'Unit': 'kg', 'Group': 'Control', 'N': 22, 'Value': 52.8, 'SD': 7.3, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': 'fracture (+)'}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['anthropometry', 'bmi', 'gc-treated']","{'Modality': 'Anthropometry', 'Metric': 'BMI', 'Unit': 'kg/m2', 'Group': 'GC-treated', 'N': 80, 'Value': 22.4, 'SD': 2.8, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': 'fracture (-)'}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['anthropometry', 'bmi', 'gc-treated']","{'Modality': 'Anthropometry', 'Metric': 'BMI', 'Unit': 'kg/m2', 'Group': 'GC-treated', 'N': 42, 'Value': 20.5, 'SD': 3.59, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': 'fracture (+)'}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['anthropometry', 'bmi', 'control']","{'Modality': 'Anthropometry', 'Metric': 'BMI', 'Unit': 'kg/m2', 'Group': 'Control', 'N': 100, 'Value': 22.0, 'SD': 3.0, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': 'fracture (-)'}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['anthropometry', 'bmi', 'control']","{'Modality': 'Anthropometry', 'Metric': 'BMI', 'Unit': 'kg/m2', 'Group': 'Control', 'N': 22, 'Value': 22.6, 'SD': 3.3, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': 'fracture (+)'}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['dxa', '% bmc', 'premenopausal gc patients']","{'Modality': 'DXA', 'Metric': '% BMC', 'Unit': '%', 'Group': 'Premenopausal GC patients', 'N': 84, 'Value': 3.7, 'SD': 0.5, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': 'fracture (-)'}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['dxa', '% bmc', 'premenopausal gc patients']","{'Modality': 'DXA', 'Metric': '% BMC', 'Unit': '%', 'Group': 'Premenopausal GC patients', 'N': 8, 'Value': 2.9, 'SD': 0.3, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': 'fracture (+)'}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['dxa', '% bmc', 'postmenopausal gc patients']","{'Modality': 'DXA', 'Metric': '% BMC', 'Unit': '%', 'Group': 'Postmenopausal GC patients', 'N': 80, 'Value': 3.0, 'SD': 0.5, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': 'fracture (-)'}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['dxa', '% bmc', 'postmenopausal gc patients']","{'Modality': 'DXA', 'Metric': '% BMC', 'Unit': '%', 'Group': 'Postmenopausal GC patients', 'N': 42, 'Value': 2.8, 'SD': 0.5, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': 'fracture (+)'}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['dxa', '% bmc', 'postmenopausal control women']","{'Modality': 'DXA', 'Metric': '% BMC', 'Unit': '%', 'Group': 'Postmenopausal control women', 'N': 100, 'Value': 3.1, 'SD': 0.6, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': 'fracture (-)'}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['dxa', '% bmc', 'postmenopausal control women']","{'Modality': 'DXA', 'Metric': '% BMC', 'Unit': '%', 'Group': 'Postmenopausal control women', 'N': 22, 'Value': 2.7, 'SD': 0.5, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': 'fracture (+)'}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['dxa', '% lbm', 'premenopausal gc patients']","{'Modality': 'DXA', 'Metric': '% LBM', 'Unit': '%', 'Group': 'Premenopausal GC patients', 'N': 84, 'Value': 61.8, 'SD': 7.5, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': 'fracture (-)'}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['dxa', '% lbm', 'premenopausal gc patients']","{'Modality': 'DXA', 'Metric': '% LBM', 'Unit': '%', 'Group': 'Premenopausal GC patients', 'N': 8, 'Value': 60.2, 'SD': 4.5, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': 'fracture (+)'}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['dxa', '% lbm', 'postmenopausal gc patients']","{'Modality': 'DXA', 'Metric': '% LBM', 'Unit': '%', 'Group': 'Postmenopausal GC patients', 'N': 80, 'Value': 61.6, 'SD': 7.5, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': 'fracture (-)'}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['dxa', '% lbm', 'postmenopausal gc patients']","{'Modality': 'DXA', 'Metric': '% LBM', 'Unit': '%', 'Group': 'Postmenopausal GC patients', 'N': 42, 'Value': 66.2, 'SD': 10.6, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': 'fracture (+)'}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['dxa', '% lbm', 'postmenopausal control women']","{'Modality': 'DXA', 'Metric': '% LBM', 'Unit': '%', 'Group': 'Postmenopausal control women', 'N': 100, 'Value': 61.6, 'SD': 7.3, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': 'fracture (-)'}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['dxa', '% lbm', 'postmenopausal control women']","{'Modality': 'DXA', 'Metric': '% LBM', 'Unit': '%', 'Group': 'Postmenopausal control women', 'N': 22, 'Value': 61.4, 'SD': 7.3, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': 'fracture (+)'}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['dxa', '% fat', 'premenopausal gc patients']","{'Modality': 'DXA', 'Metric': '% Fat', 'Unit': '%', 'Group': 'Premenopausal GC patients', 'N': 84, 'Value': 34.4, 'SD': 7.9, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': 'fracture (-)'}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['dxa', '% fat', 'premenopausal gc patients']","{'Modality': 'DXA', 'Metric': '% Fat', 'Unit': '%', 'Group': 'Premenopausal GC patients', 'N': 8, 'Value': 36.9, 'SD': 4.6, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': 'fracture (+)'}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['dxa', '% fat', 'postmenopausal gc patients']","{'Modality': 'DXA', 'Metric': '% Fat', 'Unit': '%', 'Group': 'Postmenopausal GC patients', 'N': 80, 'Value': 35.2, 'SD': 7.8, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': 'fracture (-)'}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['dxa', '% fat', 'postmenopausal gc patients']","{'Modality': 'DXA', 'Metric': '% Fat', 'Unit': '%', 'Group': 'Postmenopausal GC patients', 'N': 42, 'Value': 31.0, 'SD': 10.9, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': 'fracture (+)'}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['dxa', '% fat', 'postmenopausal control women']","{'Modality': 'DXA', 'Metric': '% Fat', 'Unit': '%', 'Group': 'Postmenopausal control women', 'N': 100, 'Value': 35.4, 'SD': 7.9, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': 'fracture (-)'}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['dxa', '% fat', 'postmenopausal control women']","{'Modality': 'DXA', 'Metric': '% Fat', 'Unit': '%', 'Group': 'Postmenopausal control women', 'N': 22, 'Value': 36.0, 'SD': 7.6, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': 'fracture (+)'}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['dxa', '% trunk fat', 'premenopausal gc patients']","{'Modality': 'DXA', 'Metric': '% Trunk fat', 'Unit': '%', 'Group': 'Premenopausal GC patients', 'N': 84, 'Value': 38.4, 'SD': 6.7, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': 'fracture (-)'}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['dxa', '% trunk fat', 'premenopausal gc patients']","{'Modality': 'DXA', 'Metric': '% Trunk fat', 'Unit': '%', 'Group': 'Premenopausal GC patients', 'N': 8, 'Value': 47.0, 'SD': 7.7, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': 'fracture (+)'}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['dxa', '% trunk fat', 'postmenopausal gc patients']","{'Modality': 'DXA', 'Metric': '% Trunk fat', 'Unit': '%', 'Group': 'Postmenopausal GC patients', 'N': 80, 'Value': 44.8, 'SD': 7.9, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': 'fracture (-)'}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['dxa', '% trunk fat', 'postmenopausal gc patients']","{'Modality': 'DXA', 'Metric': '% Trunk fat', 'Unit': '%', 'Group': 'Postmenopausal GC patients', 'N': 42, 'Value': 43.3, 'SD': 10.5, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': 'fracture (+)'}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['dxa', '% trunk fat', 'postmenopausal control women']","{'Modality': 'DXA', 'Metric': '% Trunk fat', 'Unit': '%', 'Group': 'Postmenopausal control women', 'N': 100, 'Value': 45.0, 'SD': 8.2, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': 'fracture (-)'}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['dxa', '% trunk fat', 'postmenopausal control women']","{'Modality': 'DXA', 'Metric': '% Trunk fat', 'Unit': '%', 'Group': 'Postmenopausal control women', 'N': 22, 'Value': 47.9, 'SD': 6.8, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': 'fracture (+)'}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['anthropometry', 'body height', 'premenopausal gc patients']","{'Modality': 'Anthropometry', 'Metric': 'Body height', 'Unit': 'cm', 'Group': 'Premenopausal GC patients', 'N': 84, 'Value': 158.7, 'SD': 6.2, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': 'Vertebral fractures (-)'}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['anthropometry', 'body height', 'premenopausal gc patients']","{'Modality': 'Anthropometry', 'Metric': 'Body height', 'Unit': 'cm', 'Group': 'Premenopausal GC patients', 'N': 8, 'Value': 152.4, 'SD': 5.2, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': 'Vertebral fractures (+)'}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['anthropometry', 'body weight', 'premenopausal gc patients']","{'Modality': 'Anthropometry', 'Metric': 'Body weight', 'Unit': 'kg', 'Group': 'Premenopausal GC patients', 'N': 84, 'Value': 54.9, 'SD': 9.5, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': 'Vertebral fractures (-)'}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['anthropometry', 'body weight', 'premenopausal gc patients']","{'Modality': 'Anthropometry', 'Metric': 'Body weight', 'Unit': 'kg', 'Group': 'Premenopausal GC patients', 'N': 8, 'Value': 50.0, 'SD': 4.4, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': 'Vertebral fractures (+)'}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['anthropometry', 'bmi', 'premenopausal gc patients']","{'Modality': 'Anthropometry', 'Metric': 'BMI', 'Unit': 'kg/m2', 'Group': 'Premenopausal GC patients', 'N': 84, 'Value': 21.8, 'SD': 3.2, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': 'Vertebral fractures (-)'}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run1,"['anthropometry', 'bmi', 'premenopausal gc patients']","{'Modality': 'Anthropometry', 'Metric': 'BMI', 'Unit': 'kg/m2', 'Group': 'Premenopausal GC patients', 'N': 8, 'Value': 21.7, 'SD': 3.4, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': 'Vertebral fractures (+)'}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run2,"['dxa', 'bmc', 'premenopausal gc patients']","{'Modality': 'DXA', 'Metric': 'BMC', 'Unit': '%', 'Group': 'Premenopausal GC patients', 'N': 92, 'Value': 3.6, 'SD': 0.6, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run2,"['dxa', 'lbm', 'premenopausal gc patients']","{'Modality': 'DXA', 'Metric': 'LBM', 'Unit': '%', 'Group': 'Premenopausal GC patients', 'N': 92, 'Value': 61.7, 'SD': 7.3, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run2,"['dxa', 'fat', 'premenopausal gc patients']","{'Modality': 'DXA', 'Metric': 'Fat', 'Unit': '%', 'Group': 'Premenopausal GC patients', 'N': 92, 'Value': 34.6, 'SD': 7.7, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run2,"['dxa', 'trunk fat', 'premenopausal gc patients']","{'Modality': 'DXA', 'Metric': 'Trunk fat', 'Unit': '%', 'Group': 'Premenopausal GC patients', 'N': 92, 'Value': 39.2, 'SD': 7.2, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run2,"['dxa', 'bmc', 'postmenopausal gc patients']","{'Modality': 'DXA', 'Metric': 'BMC', 'Unit': '%', 'Group': 'Postmenopausal GC patients', 'N': 122, 'Value': 2.9, 'SD': 0.5, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run2,"['dxa', 'lbm', 'postmenopausal gc patients']","{'Modality': 'DXA', 'Metric': 'LBM', 'Unit': '%', 'Group': 'Postmenopausal GC patients', 'N': 122, 'Value': 63.2, 'SD': 9.0, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run2,"['dxa', 'fat', 'postmenopausal gc patients']","{'Modality': 'DXA', 'Metric': 'Fat', 'Unit': '%', 'Group': 'Postmenopausal GC patients', 'N': 122, 'Value': 33.8, 'SD': 9.1, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run2,"['dxa', 'trunk fat', 'postmenopausal gc patients']","{'Modality': 'DXA', 'Metric': 'Trunk fat', 'Unit': '%', 'Group': 'Postmenopausal GC patients', 'N': 122, 'Value': 44.3, 'SD': 8.9, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
kaji-2006,consensus,muscle,,,,only_in_run2,"['dxa', 'bmc', 'postmenopausal control women']","{'Modality': 'DXA', 'Metric': 'BMC', 'Unit': '%', 'Group': 'Postmenopausal control women', 'N': 122, 'Value': 3.0, 'SD': 0.6, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
